Entity,Attribute,Container,Qualifier,Reference,DOM,Type,Description
Account,,,,,,,
,401kLoan,investment,,,loan401k,<COMPONENT>Money,Amount borrowed from a 401k plan.
,accidentalDeathBenefit,insurance,,,,<COMPONENT>Money,Accidental death benefit amount on life insurance policy.
,accountName,bank,,,accountNameExt,,The name (description) for the account
,accountName,creditCard,,,accountNameExt,,The name (description) for the account
,accountName,investment,,,accountNameExt,,The name (description) for the account
,accountName,insurance,,,accountNameExt,,The name (description) for the account
,accountName,loan,,,accountNameExt,,The name (description) for the account
,accountName,reward,,,memberName,,
,accountName,bill,,,accountNameExt,,The name (description) for the account
,accountName,realEstate,,,accountNameExt,,The name (description) for the account
,accountName,otherAssets,,,accountNameExt,,
,accountName,otherLiabilities,,,accountNameExt,,
,accountNumber,bank,,,accountNumberExt,,The account number associated with the single data gatherer flow account
,accountNumber,creditCard,,,accountNumberExt,,The account number associated with the account
,accountNumber,investment,,,accountNumberExt,,The account number associated with the account
,accountNumber,insurance,,,accountNumberExt,,The account number associated with the account
,accountNumber,loan,,,accountNumberExt,,The account number associated with the account
,accountNumber,reward,,,accountNumberExt,,The account number associated with the account
,accountNumber,bill,,,accountNumberExt,,The account number associated with the account
,accountNumber,otherAssets,,,accountNumberExt,,
,accountNumber,otherLiabilities,,,accountNumberExt,,
,accountNumberV2,bank,,,accountNumberV2Ext,,The account number associated with the single data gatherer flow account
,accountNumberV2,creditCard,,,accountNumberV2Ext,,The account number associated with the account
,accountNumberV2,investment,,,accountNumberV2Ext,,The account number associated with the account
,accountNumberV2,insurance,,,accountNumberV2Ext,,The account number associated with the account
,accountNumberV2,loan,,,accountNumberV2Ext,,The account number associated with the account
,accountNumberV2,reward,,,accountNumberV2Ext,,The account number associated with the account
,accountNumberV2,bill,,,accountNumberV2Ext,,The account number associated with the account
,accountNumberV2,otherAssets,,,accountNumberV2Ext,,
,accountNumberV2,otherLiabilities,,,accountNumberV2Ext,,
,accountStatus,bank,,,itemAccount.itemAccountStatusId,<ENUM>itemAccountStatus,Status of the account
,accountStatus,creditCard,,,itemAccount.itemAccountStatusId,<ENUM>itemAccountStatus,Status of the account
,accountStatus,investment,,,unreconciledAccountStatusExt,<ENUM>itemAccountStatus,Status of the account
,accountStatus,insurance,,,itemAccount.itemAccountStatusId,<ENUM>itemAccountStatus,Status of the account
,accountStatus,loan,,,itemAccount.itemAccountStatusId,<ENUM>itemAccountStatus,Status of the account
,accountStatus,reward,,,itemAccount.itemAccountStatusId,<ENUM>itemAccountStatus,Status of the account
,accountStatus,bill,,,itemAccount.itemAccountStatusId,<ENUM>itemAccountStatus,Status of the account
,accountStatus,realEstate,,,itemAccount.itemAccountStatusId,<ENUM>itemAccountStatus,Status of the account
,accountStatus,otherAssets,,,itemAccount.itemAccountStatusId,<ENUM>itemAccountStatus,Status of the account
,accountStatus,otherLiabilities,,,itemAccount.itemAccountStatusId,<ENUM>itemAccountStatus,Status of the account
,accountType,bank,,,accountTypeExt,,"The consumers account type (unknown, other, checking, savings, CD, money, and market)"
,accountType,creditCard,,,accountTypeExt,,"Type of the card account (credit, charge, other, and unknown)."
,accountType,investment,,,accountTypeExt,,"Type of the account (unknown, other, brokerageCash, brokerageMargin, moneyMarket, ira, 401k, 403b, trust, annuity, simple & custodian)."
,accountType,insurance,,,insuranceTypeExt,,The consumer's account type
,accountType,loan,,,loanTypeExt,,The consumer's account type
,accountType,bill,,,accountTypeExt,,The consumer's account type
,accountType,realEstate,,,accountTypeExt1,,
,accountTypeId,bank,,,acctTypeId,,
,accountTypeId,investment,,,acctTypeId,,
,accountType,reward,,,accountTypeExt1,,
,accountType,otherAssets,,,accountTypeExt,,
,accountType,otherLiabilities,,,accountTypeExt,,
,aggregationSource,,,,aggregationSourceEnumExt,,
,frequency,bill,,,billPreference.frequencyTypeId,<ENUM>FrequencyType,
,frequency,insurance,,,benefitFrequencyTypeId,<ENUM>FrequencyType,
,frequency,loan,,,loanFrequencyTypeId,<ENUM>FrequencyType,
,frequency,creditCard,,,billPreference.frequencyTypeId,<ENUM>FrequencyType,
,amountDue,creditCard,,,,<COMPONENT>Money,Amount due in the current credit card statement
,amountDue,insurance,,,,<COMPONENT>Money,Amount that is due.
,amountDue,loan,,,,<COMPONENT>Money,Amount that is due.
,amountDue,bill,,,,<COMPONENT>Money,Amount that needs to be paid before due date.
,annuityBalance,investment,,,,<COMPONENT>Money,Total balance available in Annuity. This is applicable if account type is annuity.
