Entity,Attribute,Container,Qualifier,Reference,DOM,Type,Default,Description
GoalCategory,,,,,CobGoalTemplate,,<ORDER BY>asc priority,
,id,,,,cobGoalTemplateId,,,
,name,,,,name,,,
,priority,,,,priority,,,
,isRecommended,,,,isRecommended,,,
,isEnabled,,,,isEnabled,,,
Frequency,,,,,SfgFrequency,,,
,id,,,,frequencyTypeId,,,
,period,,,,frequencyDesc,,,
GoalAccount,,,,,AccountGoalMap,,,
,id,,,,itemAccountId,,,
,type,,,,accountTypeExt,,,
,actualSaving,,,,currentSaveAmtExt,,,
,expectedSaving,,,,expectedSaveAmountExt,,,
,ongoingContribution,,,,ongoingContrbAmountExt,,,
,initialAllocationAmount,,,,initialAllocationAmtExt,,,
,isDeleted,,,,isDeleted,boolean,,
,created,,,,rowCreated,<FORMAT>DateTime,,
,lastUpdated,,,,rowLastUpdated,<FORMAT>DateTime,,
Goal,,,,,UserGoal,,,
,id,,,,userGoalId,,,
,name,,,,goalName,,,
,image,,,,goalImageExt,,,
,startDate,,,,startDate,<FORMAT>DateTime,,
,targetDate,,,,targetDate,<FORMAT>DateTime,,
,targetAmount,,,,targetAmtExt,,,
,frequency,,,,frequencyTypeId,<ENUM>FrequencyType,,
,actualSaving,,,,actualSavedAmtExt,,,
,expectedSaving,,,,expectedSavedAmtExt,,,
,categoryId,,,,cobGoalTemplateId,,,
,isDeleted,,,,isDeleted,boolean,,
,isFTSelected,,,,isFTSelected,boolean,,
,status,,,,goalStatusId,<ENUM>GoalStatus,,
,fundSetupStatus,,,,fundSetupStatusId,<ENUM>FundSetupStatus,,
,completionSource,,,,completionSourceId,<ENUM>CompletionSource,,
,created,,,,rowCreated,<FORMAT>DateTime,,
,lastUpdated,,,,rowLastUpdated,<FORMAT>DateTime,,
,recurringAmount,,,,recurringAmtExt,,,
,completionDate,,,,,<FORMAT>DateTime,,
,accomplishedDate,,,,,<FORMAT>DateTime,,
,currency,,,,currencyExt,,,
FundingRule,,,,,goalContributionRule,,,
,id,,,,goalContributionRuleId,,,
,sourceAccountId,,,,srcItemAccountId,,,
,goalAccountId,,,,destItemAccountId,,,
,initialAmountAllocated,,,,initialAmount,,,
,recurringAmount,,,,ongoingAmtExt,,,
,startDate,,,,startDate,<FORMAT>DateTime,,
,endDate,,,,endDate,<FORMAT>DateTime,,
,frequency,,,,frequencyTypeId,<ENUM>FrequencyType,,
,isAutoTransfer,,,,isAutoTransferRule,,,
,isDeleted,,,,,,,
,created,,,,rowCreated,<FORMAT>DateTime,,
,lastUpdated,,,,rowLastUpdated,<FORMAT>DateTime,,
,isCompleted,,,,isRuleCompleted,boolean,,
