Entity,Attribute,Qualifier,Reference,DOM,Type,Default,Editable,Validation,Description,,,,,,
Provider,,,,Site,,<ORDER BY>asc id<TOP>500,,,,,,,,,
,id,,,,,,,,Unique identifier for a site,,,,,,
,name,,,nameExt,,,,,Site name,,,,,,
,nameWithCountry,,,nameWithCountryExt,,,,,,,,,,,
,loginUrl,,,loginUrlExt,,,,,Hyperlink to the site login page,,,,,,
,baseUrl,,,baseUrlExt,,,,,Hyperlink to the site homepage,,,,,,
,favicon,,,,,,,,Image for the site,,,,,,
,svgIconLastModified,,,svgIconLastModifiedExt,,,,,,,,,,,
,logo,,,,,,,,,,,,,,
,svgLogoLastModified,,,svgLogoLastModifiedExt,,,,,,,,,,,
,status,,,,,,,,"Indicates if a site is active, beta or inactive",,,,,,
,containerNames,,,,,,,,Array of containers supported by the site,,,,,,
,isAutoRefreshEnabled,,,isAutoRefreshEnableExt,,,,,,,,,,,
,containerAttributes,,,,,,,,,,,,,,
,mfaType,,,,,,,,"If the site needs multi factor authentication, this field specifies type of MFA- Q&A, Captcha, Token, Multilevel",,,,,,
,help,,,,,,,,Text to guide user through linking an account that belongs to the site,,,,,,
,primaryLanguageISOCode,,,primaryLanguageExt,,,,,,,,,,,
,languageISOCode,,,languageIsoCodeExt,,,,,,,,,,,
,countryISOCode,,,countryExt,,,,,,,,,,,
,oAuthSite,,,isOauthEnabledExt,,,,,,,,,,,
,localizedProviderAttributes,,,localizedSiteAttributes,,,,,,,,,,,
,lastModified,,,rowLastUpdatedExt,,,,,"Returns when the Site (Max of Site or Sum Info) was modified last, ",,,,,,
,forgetPasswordUrl,,,,,,,,Hyperlink to the forget password,,,,,,
,loginForm,,,,<ENTITY>[],,,,,,,,,,
,loginHelp,,,,,,,,Text to guide user while providing Login details,,,,,,
,availableFrom,,,,,,,,Date from which the FI is available for aggregation,,,,,,
,priority,,,,<FILTER>,,,,,,,,,,
,enablement,,,,<FILTER>,,,,,,,,,,
,dataset,,,,<FILTER>,,,,,,,,,,
,cobrandSupport,,,,<FILTER>,,,,,,,,,,
,additionalDataSet,,,,,,,,,,,,,,
,dataset,,,,,,,,,,,,,,
,dataSetDetails,,,,,,,,,,,,,,
,capable,,,,<FILTER>,,,,,,,,,,
,capability,,,,,,,,,,,,,,
,additionalInformation,,,,,,,,,,,,,,
,providerId,,,,<FILTER>,,,,,,,,,,
,agentName,,,,<FILTER>,,,,,,,,,,
,country,,,countryNameExt,,,,,,,,,,,
,providerCategory,,,,,,,,,,,,,,
,authType,,,authTypeExt,,,,,,,,,,,
,defaultName,,,,,,,,,,,,,,
,aggregationType,,,,,,,,,,,,,,
,createdDate,,,rowCreatedExt,,,,,,,,,,,
,loginForm1,,,LoginFormArray,<ENTITY>[]LoginForm,,,,,,,,,,
