Entity,Attribute,Qualifier,Reference,DOM,Type,Description,Values
Service,,,,SumInfo,,,
,containerName,,,tag.tag,,,
,id,,,,,,
,ownership,,,,<FILTER>,,
,siteName,,,site.name,,,
,defaultCategory,,,sumInfoDefCat.sumInfo->defCat(defTab.cobrand),<ENTITY>,,
ServiceDefaultCategory,,,,SumInfoDefCat,,,
,cobrandable,,,,<FILTER>,,
,defaultCategory,,,defCat.name,,,
,defaultCategoryGroup,,,defCat.defTab.name,,,
,,,,,,,
DefaultCategory,,,,DefCat,,,
,service,,,sumInfoDefCat.defCat->sumInfo,<ENTITY>,,
,cobrandable,,,,<FILTER>,,
,name,,,,,,
