Entity,Attribute,Container,Qualifier,Reference,DOM,Type,Default,Description,Values
Transaction_,,,,,,<COMPOUND>,<ORDER BY>desc date;desc postingOrder;desc id<TOP>500,,
,,,auto,Transaction,,<INCLUDE>,,,
,,,manual,ManualTransaction,,<INCLUDE>,,,
Transaction,,,,,,,<ORDER BY>desc date;desc postingOrder;desc id<TOP>500,,
,account,,,,itemAccount.account,<ENTITY>Account,,The account from which the transaction was made,
,accountId,,,,itemAccountId,,,The account from which the transaction was made,
,amount,bank,,,transactionAmount,<COMPONENT>Money,,The transaction amount,
,amount,creditCard,,,transAmount,<COMPONENT>Money,,The transaction amount,
,amount,investment,,,,<COMPONENT>Money,,The transaction amount,
,amount,insurance,,,,<COMPONENT>Money,,The transaction amount,
,amount,loan,,,,<COMPONENT>Money,,The transaction amount,
,baseType,bank,,,transactionBaseTypeIdExt,<ENUM>transactionBaseType,,Determines if the transaction is an expense or income. Value may be Credit or Debit.,
,baseType,creditCard,,,transactionBaseTypeIdExt,<ENUM>transactionBaseType,,Determines if the transaction is an expense or income. Value may be Credit or Debit.,
,baseType,investment,,,transactionBaseTypeIdExt,<ENUM>transactionBaseType,,Determines if the transaction is an expense or income. Value may be Credit or Debit.,
,baseType,insurance,,,transactionTypeIdExt,<ENUM>transactionBaseType,,Determines if the transaction is an expense or income. Value may be Credit or Debit.,
,baseType,loan,,,transactionTypeIdExt,<ENUM>transactionBaseType,,Determines if the transaction is an expense or income. Value may be Credit or Debit.,
,txnBaseType,,,,,<FILTER>,,,
,category,,,,categoryExt,,,,
,categoryId,,,,categoryIdExt,,,,
,commission,investment,, ,commission,<COMPONENT>Money,,,
,checkNumber,bank,,,,,,,
,enablement,,,,,<FILTER>,,,
,categoryLevelId,,,,,,,,
,categorySource,,,,categorySourceExt,,,,
,simpleDescription,creditCard,,,meerkatSimpleDescription,,,,
,simpleDescription,bank,,,meerkatSimpleDescription,,,,
,consumerDescription,,,,userDescription,,,,
,container,,,,,,,"Determines the type of service. Bank, Card, Investment, Insurance, etc.",
,cusipNumber,investment,,,,,,A unique number to identify the issuer.,
,customCategoryId,,,,,,,,
,date,bank,,postDate;transactionDate,,<COMPONENT>Date,,This is the date on which the transaction was posted or made,
,date,creditCard,,postDate;transactionDate,,<COMPONENT>Date,,This is the date on which the transaction was posted or made,
,date,insurance,,postDate;transactionDate,,<COMPONENT>Date,,This is the date on which the transaction was posted or made,
,date,loan,,postDate;transactionDate,,<COMPONENT>Date,,This is the date on which the transaction was posted or made,
,date,investment,,transactionDate,,<COMPONENT>Date,,This is the date on which the transaction was posted or made,
,description,bank,,,meerkatDescriptionExt,<COMPONENT>MeerkatDescription,,Description of the transaction,
,description,creditCard,,,meerkatDescriptionExt,<COMPONENT>MeerkatDescription,,Description of the transaction,
,description,investment,,,descriptionExt,<COMPONENT>Description,,Description of the transaction,
,description,insurance,,,descriptionExt,<COMPONENT>Description,,Description of the transaction,
,description,loan,,,descriptionExt,<COMPONENT>Description,,Description of the transaction,
,grossAmount,investment,,,,<COMPONENT>Money,,"The total amount for the transaction, excluding commissions/fees.",
,holdingDescription,investment,,,txnHoldingDesc,,,"For transactions involving securities, this will capture the Holdings description",
,highLevelCategoryId,,,,hLTxnCategoryIdExt,,,,
,highLevelCategoryName,,,,hLTxnCategoryNameExt,,,,
,id,,,,,,,An identifier for the transaction. A combination of the id and container of the account are unique in the system,
,interest,loan,,,,<COMPONENT>Money,,,
,isin,investment,,,isin,,,International Securities Identification Number (ISIN) standard is used worldwide to identify specific securities.,
,lastDays,,,,,<FILTER>,,Returns transactions limited to a specified number of last days. Default is last 30 days.,
,isManual,,,,manualExt,boolean,,Determines if a transaction is manual,
,sourceType,,,,sourceTypeExt,,,Field to differentiate between agreggated and future transactions,
,memo,,,,,,,Memo for the transaction as provided by the user,
,merchant,,,,,<ENTITY>,,The merchant details associated with the transaction for the applicable transactions.,
,originalDescription,,,,plainTextDescription,,,Transaction description as available from the Data source system,
,ownership,,,,,<FILTER>,,Determines if the account belongs to the consumer or was shared with the consumer by another user,
,postDate,bank,,,,<COMPONENT>Date,,The date the transaction was posted to the account,
,postDate,creditCard,,,,<COMPONENT>Date,,The date the transaction was posted to the account,
,postDate,insurance,,,,<COMPONENT>Date,,The date the transaction was posted to the account,
,postDate,loan,,,,<COMPONENT>Date,,,
,postingOrder,,,,transactionPostingOrder,,,Posting order of transactions on a day.,
,price,investment,,,,<COMPONENT>Money,,The price of the security for the transaction,
,principal,loan,,,,<COMPONENT>Money,,Principal contribution in the loan payment made. ,
,quantity,investment,,,,,,Number of units of security purchased in the transaction,
,sedol,investment,,,sedol,,,"SEDOL stands for Stock Exchange Daily Official List, a list of security identifiers used in the United Kingdom and Ireland for clearing purposes.",
,settleDate,investment,,,,<COMPONENT>Date,,The settlement date for the transaction,
,status,,,,transactionStatusId,<ENUM>transactionStatus,,Status of the transaction. Permitted values are,
,symbol,investment,,,,,,The symbol for the security of the transaction.,
,transactionCategoryId,,,,,,,,
,transactionCategory,,,,,<ENTITY>TransactionCategory,,Category assigned to the transaction,
,transactionDate,,,,transDate,<COMPONENT>Date,,The actual date of the transaction,
,type,investment,,,transactionTypeId,<ENUM>transactionType,,"The nature of the transaction (eg: buy, sell, dividend payment, dividend reinvestment etc.)",
,categoryType,,,,transactionCategory.transactionCategoryTypeId,<ENUM>transactionCategoryType,,,
,isDeleted,,,,,boolean,,,
,meerkatType,bank,,,meerkatTxnTypeId,<ENUM>meerkatTxnType,,,
,meerkatType,creditCard,,,meerkatTxnTypeId,<ENUM>meerkatTxnType,,,
,subType,bank,,,meerkatTxnSubTypeId,<ENUM>meerkatTxnSubType,,,
,subType,creditCard,,,meerkatTxnSubTypeId,<ENUM>meerkatTxnSubType,,,
,runningBalance,bank,,,,<COMPONENT>Money,,,
,runningBalance,creditCard,,,,<COMPONENT>Money,,,
,runningBalance,investment,,,,<COMPONENT>Money,,,
,parentId,,,,,,,,
,parentCategoryId,,,,parentCategoryIdExt,,,,
,splitSource,,,,splitSourceExt,,,,
,splitType,,,,splitTypeExt,,,,
,dummyDate,loan,,postDate,,,,,
,status,,,,,<FILTER>,,,
,enablement,,,,,<FILTER>,,,
,dummyDate,insurance,,postDate,,,,,
,adjustedTransaction,investment,,,adjustedTransactionExt,,,,
,transactionSource,,,,,<FILTER>,,,
,sharedToMemId,,,,.sharedAccount.shareToMem.memId,,,,
,sourceMerchantName,bank,,,sourceMerchantName,,,,
,sourceMerchantName,investment,,,sourceMerchantName,,,,
,reconciledId,bank,,,recurringTxnInstId,,,,
,reconciledId,creditCard,,,recurringTxnInstId,,,,
,lastUpdated,,,,,<FORMAT>DateTime,,,
,created,,,,,<FORMAT>DateTime,,,
,createdDate,,,created,,<FORMAT>DateTime,,,
Merchant,,,,,,,,,
,id,..insurance,,,merchantIdExt,,,,
,id,..investment,,,merchantIdExt,,,,
,id,..loan,,,merchantIdExt,,,,
,id,..bank,,,merchantIdExt,,,,
,id,..creditCard,,,merchantIdExt,,,,
,name,..insurance,,,merchantName,,,,
,name,..investment,,,merchantName,,,,
,name,..loan,,,merchantName,,,,
,name,..bank,,,..meerkatMerchant.merchantName;merchantName,,,,
,name,..creditCard,,,..meerkatMerchant.merchantName;merchantName,,,,
,address,..bank,,,..meerkatMerchant.address,<COMPONENT>SimpleAddress,,,
,address,..creditCard,,,..meerkatMerchant.address,<COMPONENT>SimpleAddress,,,
,coordinates,..bank,,,..meerkatMerchant.coordinates,<COMPONENT>Coordinates,,,
,coordinates,..creditCard,,,..meerkatMerchant.coordinates,<COMPONENT>Coordinates,,,
,source,..creditCard,,,merchantSourceExt,,,,
,source,..bank,,,merchantSourceExt,,,,
,source,..insurance,,,merchantSourceExt,,,,
,source,..investment,,,merchantSourceExt,,,,
,source,..loan,,,merchantSourceExt,,,,
,categoryLabel,..bank,,,categoryLabelExt,,,,
,categoryLabel,..creditCard,,,categoryLabelExt,,,,
TransactionCategory,,,,,,,<ORDER BY>id,,
,id,,system,,id,,,,
,id,,..user,,id,,,,
,id,,..parent,,..memTransactionCategory.memTransactionCategoryId;transactionCategoryId,,,,
,id,,..child,,..memTxnSubCategory.id,,,,
,regionId,,system,,regionId,,,,
,regionId,,..parent,,regionId,,,,
,regionId,,..child,,..memTxnSubCategory.regionId,,,,
,category,,system,,transactionCategoryNameExt,,,,
,category,,..parent,,..memTransactionCategory.memTxnCategoryName;transactionCategoryName,,,,
,category,,..child,,..memTxnSubCategory.subCategoryName,,,,
,categorySource,,,,,<FILTER>,,,
,categoryLevel,,,,,<FILTER>,,,
,description,,system,,transactionCategoryDesc,,,,
,description,,..parent,,..memTransactionCategory.memTxnCategoryDesc;transactionCategoryDesc,,,,
,description,,..child,,..memTxnSubCategory.description,,,,
,isBudgetable,,system,,isBudgetable,,,,
,isBudgetable,,..parent,,isBudgetable,,,,
,isBudgetable,,..child,,..memTxnSubCategory.isBudgetable,,,,
,isSmallBusinessCategory,,system,,isSmallBusiness,,,,
,isSmallBusinessCategory,,..parent,,isSmallBusiness,,,,
,isDeleted,,system,,..memTransactionCategory.isDeleted;isDeleted,,,,
,isDeleted,,..parent,,..memTransactionCategory.isDeleted;isDeleted,,,,
,isDeleted,,..child,,..memTxnSubCategory.isDeleted,,,,
,source,,system,,,,,,
,type,,system,,transactionCategoryTypeId,<ENUM>transactionCategoryType,,,
,transactionCategoryName,,,,,,,,
,type,,..parent,,transactionCategoryTypeId,<ENUM>transactionCategoryType,,,
,isDeleted1,,,,isDeleted,,,,
,type1,,,,transactionCategoryTypeId,<ENUM>transactionCategoryType,,,
,isBudgetable1,,,,isBudgetable,,,,
MemberTransactionCategory,,,,,MemTransactionCategory,,<ORDER BY>id,,
,id,,,,,,,,
,category,,,,memTxnCategoryName,,,,
,categorySource,,,,,<FILTER>,,,
,source,,,,,,,,
,type,,,,transactionCategory.transactionCategoryTypeId,<ENUM>transactionCategoryType,,,
,isSmallBusinessCategory,,,,transactionCategory.isSmallBusiness,,,,
,parentCategoryId,,,,transactionCategory.id,,,,
MemberTransactionSubCategory,,,,,MemTxnSubCategory,,<ORDER BY>id,,
,id,,,,,,,,
,category,,,,subCategoryName,,,,
,categorySource,,,,,<FILTER>,,,
,source,,,,,,,,
,type,,,,memTransactionCategory.transactionCategory.transactionCategoryTypeId,<ENUM>transactionCategoryType,,,
,isSmallBusinessCategory,,,,memTransactionCategory.transactionCategory.isSmallBusiness,,,,
,parentCategoryId,,,,memTransactionCategory.id,,,,
UserTransactionCategory,,,,,,<COMPOUND>,<ORDER BY>id,,
,,,system,TransactionCategory,,<INCLUDE>,,,
,,,user,MemberTransactionCategory,,<INCLUDE>,,,
,,,sub,MemberTransactionSubCategory,,<INCLUDE>,,,
ManualTransaction,,,,,,,<ORDER BY>desc date;desc id<TOP>500,,
,accountId,,,,itemAccountId,,,The account from which the transaction was made,
,baseType,,,,transactionBaseTypeIdExt,<ENUM>transactionBaseType,,Determines if the transaction is an expense or income. Value may be Credit or Debit.,
,txnBaseType,,,,,<FILTER>,,,
,type,,,,transactionTypeId,<ENUM>transactionType,,,
,status,,,,transactionStatusId,<ENUM>transactionStatus,,Status of the transaction. Permitted values are,
