Entity,Attribute,Container,Qualifier,Reference,DOM,Type,Description
WealthMetricData,,,,,,,
,id,,,,id,,
,wealthMetricId,,,,wealthMetricId,,
,metricDate,,,,metricDate,,
,cobrandId,,,,cobrandId,,
,value,,,,value,,
,,,,,,,
WealthMetrics,,,,,,,
,id,,,,id,,
,metricType,,,,metricType,,
,isParent,,,,isParent,,
,parentMetricId,,,,parentMetricId,,
,displayName,,,,displayName,,
,isDeleted,,,,isDeleted,,
,rowCreated,,,,rowCreated,,
,rowLastUpdated,,,,rowLastUpdated,,
,,,,,,,
ServerStats,,,,,,,
,id,,,,id,,
,errorCode,,,,errorCode,,
,created,,,,created,,
,responseType,,,,responseType,,
,refreshSource,,,,refreshSource,,
,numItemAcctsInserted,,,,numItemAcctsInserted,,
,newTransactions,,,,newTransactions,,
,updTransactions,,,,updTransactions,,
,isCustom,,,,.sumInfo.isCustom,,
,sumInfoId,,,,.sumInfo.sumInfoId,,
,numItemAcctsUpdated,,,,.serverStatsExt.numItemAcctsUpdated,,
,rowCreated,,,,.serverStatsExt.rowCreated,,
,loginName,,,,.memSiteAcc.mem.loginName,,
,memSiteAccId,,,,.cacheInfo.memSiteAcc.memSiteAccId,,
,cacheInfoId,,,,.cacheInfo.cacheInfoId,,
,tag,,,,.sumInfo.tag.tag,,
,memId,,,,.memItem.memId,,
,memItemId,,,,.memItem.memItemId,,
,serverStatsStatus,,,,,<FILTER>,Status of the account
,updRecords,,,,,,
,cacheItemId,,,,cacheItemId,,
ServerStatsExt,,,,,,,
,id,,,,id,,
,rowCreated,,,,rowCreated,,
,numItemAcctsUpdated,,,,numItemAcctsUpdated,,
,serverStatsId,,,,serverStatsId,,
,rowLastUpdated,,,,rowLastUpdated,,
,,,,,,,
,,,,,,,
ExtractsItemUpdate,,,,,,,
,id,,,,id,,
,rowCreated,,,,rowCreated,,
,memItemId,,,,.memItem.memItemId,,
,extractsItemUpdateStatus,,,,,<FILTER>,
,sumInfoId,,,,.sumInfo.sumInfoId,,
,loginName,,,,.mem.loginName,,
,dataLastModified,,,,dataLastModified,,
,tag,,,,.sumInfo.tag.tag,,
,code,,,,.cacheInfo.code,,
,isCustom,,,,.sumInfo.isCustom,,
,dataExtractsType,,,,dataExtractsType,,
,action,,,,,,
,comments,,,,,,
,providerAccountId,,,,referenceKeyId,,
