Component,Attribute,DOM,Type,Description
Money,,,,
,amount,<DEFAULT>,,
,currency,,<ENUM>,
Date,,DateExt,,
,date,,,
Address,,,,
,address1,,,
,address2,,,
,city,,,
,state,,,
,country,,,
,zip,,,
,fullAddress,,,
HistoricReturn,,,,
,oneMonthReturn,,,
,threeMonthReturn,,,
,oneYearReturn,,,
,threeYearReturn,,,
,fiveYearReturn,,,
,tenYearReturn,,,
Coordinates,,,,
,latitude,,,
,longitude,,,
SimpleAddress,,,,
,address1,,,
,address2,,,
,city,,,
,state,,,
,country,,,
,zip,,,
MeerkatDescription,,,,
,original,,,
,consumer,,,
,simple,,,
Description,,,,
,original,,,
,consumer,,,
SimpleDescription,,,,
,original,,,
,simple,,,
SingleDescription,,,,
,consumer,,,
BankTransferCodeComp,,,,
,id1,,,
,type,,,
HomeAddress,,,,
,city,,,
,state,,,
,zip,,,
,street,,,
