Entity,Attribute,Qualifier,Reference,DOM,Type,Default,Description,Values
Holding,,<ENUM>holdingType,,,,<ORDER BY>asc holdingType;desc id,,
,account,<ENTITY>Account,,itemAccount.account,<ENTITY>Account,,,
,accountId,,,itemAccountId,,,The unique account identifier for which this holding belongs to,
,accruedIncome,,,holdingExt.accruedIncome,<COMPONENT>Money,,,
,accruedInterest,,,holdingExt.accruedInterest,<COMPONENT>Money,,,
,assetClassification,,,securities.securitiesAssetClassMap,<ENTITY>[],,,
,contractQuantity,commodity,,contractQuantity,,,The contracted quantity agreed for the holding,
,costBasis,,,costBasis,<COMPONENT>Money,,In a simple one-off security purchase cost basis is the quantity acquired multiplied by price per unit paid plusanycommission paid. In case the same position is acquired in different lots on different days at different prices the sum total of cost incurred is divided by the total units acquired to arrive at the average cost basis.,
,couponRate,bond,,couponRate,,,The coupon rate (percentage yield) for the bond position. This is mandatory for holding type bond.,
,cusipNumber,,,cusipNumber,,,The CUSIP number of the security,
,currencyType,currency,,currencyType,,,The type of currency holding,
,description,,,description,,,The description (name) for holding (eg- Cisco Systems),
,country,,,domicile,,,,
,employeeContribution,employeeStockOption,,employeeContribution,<COMPONENT>Money,,The total amount contributed by the employee to the esop position.,
,employerContribution,employeeStockOption,,employerContribution,<COMPONENT>Money,,The total amount contributed by the employer to the esop position.,
,exercisedQuantity,employeeStockOption,,exercisedQuantity,,,The quantity of the stock options that has being excercised already,
,expirationDate,option,,expirationDate,<COMPONENT>Date,,The date on which an option right or warrant expires and becomes worthless if not exercised.,
,expirationDate,future,,expirationDate,<COMPONENT>Date,,The date on which an option right or warrant expires and becomes worthless if not exercised.,
,expirationDate,commodity,,expirationDate,<COMPONENT>Date,,The date on which an option right or warrant expires and becomes worthless if not exercised.,
,grantDate,employeeStockOption,,grantDate,<COMPONENT>Date,,Grant date of the esp holding.,
,holdingType,,,holdingTypeId,<ENUM>holdingType,,The type of holding or position,
,isDeleted,,,isDeletedExt,boolean,,,
,id,,,holdingId,,,Unique identifier for the holding,
,interestRate,CD,,interestRate,,,The interest rate earned by each CD.,
,maturityDate,bond,,maturityDate,<COMPONENT>Date,,The date bond or CD position matures.,
,maturityDate,CD,,maturityDate,<COMPONENT>Date,,The date bond or CD position matures.,
,mostRecentContributionAmount,employeeStockOption,,lastContribution,<COMPONENT>Money,,The most recent contribution amount,
,mostRecentContributionDate,employeeStockOption,,lastContributionDate,<COMPONENT>Date,,The most recent contribution date,
,optionType,option,,optionTypeId,<ENUM>optionType,,The type of option holding ie. call or put,
,parValue,bond,,parValue,<COMPONENT>Money,,The par value for the bond position.,
,price,,,price,<COMPONENT>Money,,The current price of the holding,
,providerAccountId,,,.cacheInfo.memSiteAccId,,,,
,quantity,,,quantity,,,Quantity held for the holding.,
,securitiesDomicile,,,securities.domicile,,,,
,spread,employeeStockOption,,spread,<COMPONENT>Money,,This is the gain or the difference between the market price and the strike price of a stock option,
,status,,,,<FILTER>,,Status of the account,
,strikePrice,option,,strikePrice,<COMPONENT>Money,,The strike (exercise) price for the option position.,
,strikePrice,employeeStockOption,,strikePrice,<COMPONENT>Money,,The strike (exercise) price for the option position.,
,symbol,,,symbol,,,The ticker symbol for the holding.,
,term,CD,,termExt,,,The length of time for the bond or fixed income security.,
,unvestedQuantity,employeeStockOption,,unvestedQuantity,,,Unvested quantity of the esp holding.,
,unvestedValue,employeeStockOption,,unvestedValue,<COMPONENT>Money,,An estimated value across all of unvested restricted stock awards or restricted stock units.,
,value,,,value,<COMPONENT>Money,,The total value of the holding.,
,vestedQuantity,employeeStockOption,,vestedQuantity,,,Vested quantity of the esp holding.,
,vestedSharesExercisable,employeeStockOption,,vestedSharesEx,,,Vested shares exercisable of the esp holding.,
,vestedValue,employeeStockOption,,vestedValue,<COMPONENT>Money,,Vested value of the esp holding.,
,vestingDate,employeeStockOption,,vestingDate,<COMPONENT>Date,,Vesting date of the esp holding.,
,securityType,,,securityTypeExt,,,,
,matchStatus,,,holdingExt.securityMatchStatus.securityMatchStatus,,,,
,securitiesId,,,securities.securitiesId,,,,
,isShort,,,,,,,
,sharedToMemId,,,.sharedAccount.shareToMem.memId,,,,
,ownership,,,,<FILTER>,,Determines if the account belongs to the consumer or was shared with the consumer by another user,
,isShort,,,,,,,
,isin,,,,,,,
,sedol,,,,,,,
,lastUpdated,,,,<FORMAT>DateTime,,,
,created,,,,<FORMAT>DateTime,,,
,createdDate,,created,,<FORMAT>DateTime,,,
AssetClassification,,,,SecuritiesAssetClassMap,,,,
,allocation,,,,,,,
,classificationType,,,assetClassification.categoryName,,,,
,classificationValue,,,assetClassification.classificationName,,,,
,vendorId,,,assetClassification.vendorId,,,,
HoldingGroup,,,,MemHouseHoldingGroup,,,,
,groupName,,,,,,,
,itemAccountHhGroupMap,,,,<ENTITY>[]itemAccountHhGroupMap,,,
ItemAccountHhGroupMap,,,,,,,,
,accountId,,,itemAccount.itemAccountId,,,,
