Entity,Attribute,Qualifier,Reference,DOM,Type,Description,Values
User,,,,Mem,,,
,id,,,,,,
,loginName,,,loginName,,,
,email,,,,,,
,referenceId,,,referenceId,,,
,Association,,,,<FILTER>,Filter of Associated Users,
,associatedUser,,,associatedUserExt,,,
,associationType,,,associationTypeExt,,,
Name,,,,MemPref,,,
,<KEY>,,,prefKeyName,,,
,<VALUE>,,,prefKeyValue,,,
,first,,,#com.yodlee.userprofile.FIRST_NAME,,,
,middleInitial,,,#com.yodlee.userprofile.MIDDLE_INITIAL,,,
,last,,,#com.yodlee.userprofile.LAST_NAME,,,
,locale,,,#com.yodlee.userprofile.LOCALE,,,
,,,,,,,
Address,,,,MemPref,,,
,<KEY>,,,prefKeyName,,,
,<VALUE>,,,prefKeyValue,,,
,address1,,,#com.yodlee.userprofile.ADDRESS_1,,,
,address2,,,#com.yodlee.userprofile.ADDRESS_2,,,
,state,,,#com.yodlee.userprofile.STATE,,,
,city,,,#com.yodlee.userprofile.CITY,,,
,zip,,,#com.yodlee.userprofile.POSTAL_CODE,,,
,country,,,#com.yodlee.userprofile.COUNTRY,,,
,,,,,,,
Cobrand,,,,Cobrand,,,
,id,,,,,,
,loginName,,,loginName,,,
,name,,,name,,,
,channelId,,,channelId,,,
