Enumeration,Value,Qualifier,DOM,Type,Default,Description
Cobrandable,<DOM>,,,<FILTER>,COBRAND,
LastDays,<DOM>,,,<FILTER>,LAST30DAYS,
Enablement,<DOM>,,,<FILTER>,ENABLED,
Ownership,,,,<FILTER>,Account:ACCOUNT_SHARING_ENABLED OWN;OWN,
,GLOBAL,,,,,
,OWN,,,,,
,SHARE,,,,,
,SHARED,ADVISOR;ACCOUNT_SHARING_ENABLED,,,,
Relation,<DOM>,,,<FILTER>,,
Priority,<DOM>,,,<FILTER>,COBRAND,
Status,<DOM>,,,<FILTER>,DEFAULT,
CategoryLevel,<DOM>,,,<FILTER>,IGNORE,
CategoryLevelManual,<DOM>,,,<FILTER>,IGNORE,
CategoryLevelManualEvent,<DOM>,,,<FILTER>,IGNORE,
CategorySource,<DOM>,,,<FILTER>,ALL,
TransactionSource,<DOM>,,,<FILTER>,ALL,
Container,<DOM>,,,<FILTER>,ALL,
Dataset,<DOM>,,,<FILTER>,JUSTLIKETHAT,
CobrandSupport,<DOM>,,,<FILTER>,AGGREGATION,
Capable,<DOM>,,,<FILTER>,DEFAULT,
EventStatus,<DOM>,,,<FILTER>,NONDELETED,
ProviderId,<DOM>,,,<FILTER>,,
AgentName,<DOM>,,,<FILTER>,,
ServerStatsStatus,<DOM>,,,<FILTER>,,
ExtractsItemUpdateStatus,<DOM>,,,<FILTER>,,
ReconciledStatus,<DOM>,,,<FILTER>,DEFAULT,
Association,<DOM>,,,<FILTER>,SELF,
RealizationStatus,<DOM>,,,<FILTER>,DEFAULT,
HolderFilter,<DOM>,,,<FILTER>,DEFAULT,
NewWealthFilter,<DOM>,,,<FILTER>,DEFAULT,
