Parameter,Value,DOM,Description
<ACL>,,<QUERY>memAclValue aclValue where paramAcl.aclName eq [],
<COB_PARAM>,,CobParam,
ADVISOR,,<ACL>GENERAL_USER_ROLE,
,TRUE,ADVISOR,
ACCOUNT_SHARING_ENABLED,,<COB_PARAM>COM.YODLEE.CORE.ACCOUNT_SHARING_ENABLED,
,TRUE,true;1;on,
,FALSE,false;0;off,
CONTAINERS_DISABLED,,<COB_PARAM>com.yodlee.core.containers.disabled,
POPULAR_SITES_ENABLED,,<COB_PARAM>com.yodlee.core.popular_sites.feature_switch_enabled,
SUGGESTED_SITES,,<COB_PARAM>COM.YODLEE.CORE.SUGGESTED_SITES.FEATURE.ENABLED,
POPULAR_SITES,,<COB_PARAM>COM.YODLEE.CORE.POPULAR_SITES.LIST_OF_SITES,
OAUTH_BASED_AGGREGATION,,<COB_PARAM>com.yodlee.core.oauth_based_aggregation.enabled,
DISABLED_APIS,,<COB_PARAM>com.yodlee.core.api.disabled,
ENABLED_PKI,,<COB_PARAM>COM.YODLEE.COBRAND_PKI.ENABLED,
ENABLED_401K,,<COB_PARAM>COM.YODLEE.COBRAND.INVESTMENT_PLAN.SUPPORTED,
VENDORS,,<COB_PARAM>COM.YODLEE.CORE.COBRAND_VENDORS,
HOLDING_TYPES,,<COB_PARAM>COM.YODLEE.CORE.INVESTMENT_HOLDINGS.SUPPORTED_HOLDING_TYPES_FOR_ASSET_CATEGORY,
COUNTRY_PRIORITY,,<COB_PARAM>COM.YODLEE.CORE.INVESTMENT_HOLDINGS.COUNTRY_FETCH_SOURCE_ORDER,
COB_COUNTRY,,<COB_PARAM>COM.YODLEE.COBRAND.LOCALE.DEFAULT,
MAX_POP_SITE,,<COB_PARAM>com.yodlee.core.popular_sites.max_pop_sites_to_return,
SUPPORTED_LOCALE,,<COB_PARAM>COM.YODLEE.COBRAND.LOCALE.SUPPORTED,
COBRAND_DEFAULT_LOCALE,,<COB_PARAM>COM.YODLEE.COBRAND.LOCALE.DEFAULT,
DEFAULT_CURRENCY,,<COB_PARAM>com.yodlee.core.currency.default,
LOCALIZED_SITE_ATTR_ENABLED,,<COB_PARAM>COM.YODLEE.CORE.FETCH_ALL_LOCALE_DATA_ENABLED,
EDIT_ERROR_CODES,,<COB_PARAM>COM.YODLEE.CORE.REFRESH.EDIT_FLOW.ERROR_CODES,
MASKING_ON_ACCOUNT_NUMBER,,<COB_PARAM>COM.YODLEE.CORE.MASK_ACCOUNT_NUMBER,
CATEGORIZATION_KEY,,<COB_PARAM>com.yodlee.categorization.refine.categories.enabled,
MASKING_ON_ACCOUNT_LENGTH,,<COB_PARAM>com.yodlee.core.accountnumber.masklength,
MASKING_ON_ACCOUNT_CHARACTER,,<COB_PARAM>com.yodlee.core.accountnumber.maskchar,
QUICK_START_ENABLED,,<COB_PARAM>COM.YODLEE.FASTLINK.STATIC_POPULAR_SITES.RESTRICTED_VIEW.ENABLED,
IAV_ACCOUNT_REQUIRED_MATCH,,<COB_PARAM>COM.YODLEE.CORE.INSTANTACCOUNTVERIFICATION.ACCOUNT_NUMBER_REQUIRED_MATCH,
MFA_ENABLED,,<COB_PARAM>com.yodlee.core.mfa.enabled,
,TRUE,true;1;on,
,FALSE,false;0;off,
ROUTING_SWITCH,,<COB_PARAM>COM.YODLEE.ACCOUNT.ROUTINGNUM.SWITCH,
REQUEST_ORIGINATOR_PERSIST_ENABLED,,<COB_PARAM>COM.YODLEE.CORE.REQUEST_ORIGINATOR.INFO.PERSIST.ENABLED,
IAV_TRANSACTIONS_DAY_LIMIT_ENABLED,,<COB_PARAM>COM.YODLEE.CORE.VERIFICATION.IAV.TRANSACTIONS_DAY_LIMIT,
IAV_LOGIN_RESPONSE_ENABLED,,<COB_PARAM>COM.YODLEE.CORE.VERIFICATION.IAV.LOGIN_RESPONSE.ENABLED,
,TRUE,true;1;ON,
,FALSE,false;0;OFF,
IAV_ACCOUNTSUMMARY_RESPONSE_ENABLED,,<COB_PARAM>COM.YODLEE.CORE.VERIFICATION.IAV.ACCOUNT_SUMMARY_RESPONSE.ENABLED,
,TRUE,true;1;ON,
,FALSE,false;0;OFF,
IAV_TRANSACTIONS_REQUIRED_ENABLED,,<COB_PARAM>COM.YODLEE.CORE.VERIFICATION.IAV.TRANSACTIONS_REQUIRED.ENABLED,
,TRUE,true;1;ON,
,FALSE,false;0;OFF,
IAV_TRANSACTIONS_DAY_LIMIT_ENABLED,,<COB_PARAM>COM.YODLEE.CORE.VERIFICATION.IAV.TRANSACTIONS_DAY_LIMIT,
REFRESH_ENABLED,,<COB_PARAM>com.yodlee.core.site_refresh.enabled,
AUDIT_TRAIL_ENABLED,,<COB_PARAM>COM.YODLEE.CORE.AUDIT_TRAIL.ENABLED,
SCORING_ENABLED,,<COB_PARAM>COM.YODLEE.CORE.FUNDSTRANSFER.SCORING.ENABLED,
,TRUE,true;1;on,
,FALSE,false;0;off,
MATCH_LENGTH,,<COB_PARAM>COM.YODLEE.CORE.FUNDSTRANSFER.MATCH_LENGTH,
,TRUE,true;1;on,
,FALSE,false;0;off,
MASKED_MATCH_LENGTH,,<COB_PARAM>COM.YODLEE.CORE.FUNDSTRANSFER.MASKED_MATCH_LENGTH,
,TRUE,true;1;on,
,FALSE,false;0;off,
SIGNIFICANT_DIGITS,,<COB_PARAM>COM.YODLEE.CORE.FUNDSTRANSFER.SIGNIFICANT_DIGITS,
EXACT_MATCH,,<COB_PARAM>COM.YODLEE.CORE.FUNDSTRANSFER.EXACT_MATCH,
,TRUE,true;1;on,
,FALSE,false;0;off,
PREFIX_MATCH_MIN_LEN,,<COB_PARAM>COM.YODLEE.CORE.FUNDSTRANSFER.PREFIX_MATCH.MIN.LENGTH,
PREFIX_MATCH_ALLOWED,,<COB_PARAM>COM.YODLEE.CORE.FUNDSTRANSFER.PREFIX_MATCH.ALLOWED,
,TRUE,true;1;on,
,FALSE,false;0;off,
SUFFIX_MATCH_ALLOWED,,<COB_PARAM>COM.YODLEE.CORE.FUNDSTRANSFER.SUFFIX_MATCH.ALLOWED,
,TRUE,true;1;on,
,FALSE,false;0;off,
SUFFIX_MATCH_MIN_LEN,,<COB_PARAM>COM.YODLEE.CORE.FUNDSTRANSFER.SUFFIX_MATCH.MIN.LENGTH,
ACCOUNT_TYPE_MATCH,,<COB_PARAM>COM.YODLEE.CORE.FUNDSTRANSFER.ACCOUNT_TYPE.MATCH,
,TRUE,true;1;on,
,FALSE,false;0;off,
ACCOUNT_HOLDER_MATCH,,<COB_PARAM>COM.YODLEE.CORE.FUNDSTRANSFER.ACCOUNT_HOLDER.MATCH, 
,TRUE,true;1;on,
,FALSE,false;0;off,
ACCOUNT_HOLDER_FNLN_MATCH,,<COB_PARAM>COM.YODLEE.CORE.FUNDSTRANSFER.ACCOUNT_HOLDER.FIRST_LAST_NAME_MATCH,
,TRUE,true;1;on,
,FALSE,false;0;off,
IGNORE_NULL_GATHERED_ACCT_HOLDER_NAME,,<COB_PARAM>COM.YODLEE.CORE.FUNDSTRANSFER.IGNORE_MATCH_FOR_NULL_GATHERED_ACCT_HOLDER_NAME,
,TRUE,true;1;on,
,FALSE,false;0;off,
IAV_MAX_VERIFICATION_LIMIT,,<COB_PARAM>COM.YODLEE.CORE.VERIFICATION.IAV.MAX_VERIFICATION_LIMIT,
IAV_TRANSACTIONS_DAY_LIMIT,,<COB_PARAM>COM.YODLEE.CORE.VERIFICATION.IAV.TRANSACTIONS_DAY_LIMIT,
